Delivery Status,Shipping Mode,delivery_time,profit,inventory_demand,Order Item Quantity
Late delivery,Second Class,3,25.04000092,252.8800049,1
Late delivery,Second Class,6,212.6399994,452.0400085,1
Late delivery,Second Class,3,68.68000031,252.8800049,1
Late delivery,Second Class,6,135.8300018,452.0400085,1
Late delivery,Second Class,6,78.08000183,252.8800049,1
Late delivery,Second Class,5,595.3499756,1500.0,1
Shipping on time,Second Class,2,21.36000061,452.0400085,1
Late delivery,Second Class,3,213.5899963,452.0400085,1
Late delivery,Second Class,5,55.79999924,1500.0,1
Late delivery,Second Class,4,126.1200027,452.0400085,1
Shipping on time,Second Class,2,6.900000095,252.8800049,1
Late delivery,Second Class,4,-277.6700134,452.0400085,1
Late delivery,Second Class,4,105.8600006,252.8800049,1
Late delivery,Second Class,5,86.0,1500.0,1
Shipping on time,Second Class,2,195.2799988,452.0400085,1
Late delivery,Second Class,6,22.76000023,252.8800049,1
Late delivery,Second Class,4,180.5899963,452.0400085,1
Late delivery,Second Class,3,101.0299988,252.8800049,1
Late delivery,Second Class,3,118.8499985,452.0400085,1
Late delivery,Second Class,6,60.86999893,252.8800049,1
Late delivery,Second Class,5,73.45999908,252.8800049,1
Late delivery,Second Class,5,39.88000107,252.8800049,1
Late delivery,Second Class,4,177.9199982,452.0400085,1
Late delivery,Second Class,3,129.7400055,452.0400085,1
Late delivery,Second Class,6,62.20999908,252.8800049,1
Late delivery,Second Class,5,90.0,1500.0,1
Shipping on time,Second Class,2,118.6600037,452.0400085,1
Late delivery,Second Class,5,415.7999878,999.9899902,1
Late delivery,Second Class,5,8.619999886,79.98999786,1
Late delivery,Second Class,6,16.34000015,59.99000168,1
Late delivery,Second Class,4,12.52999973,44.99000168,1
Late delivery,Second Class,5,25.92000008,99.98999786,1
Late delivery,Second Class,4,-13.57999992,99.98999786,1
Late delivery,Second Class,4,10.03999996,44.99000168,1
Late delivery,Second Class,5,10.80000019,99.98999786,1
Late delivery,Second Class,5,16.71999931,99.98999786,1
Shipping canceled,Standard Class,5,28.85000038,404.91000360000004,3
Shipping canceled,Standard Class,5,133.9100037,899.9100036,3
Shipping canceled,Standard Class,6,79.16000366,899.9100036,3
Shipping canceled,Standard Class,5,19.11000061,899.9100036,3
Shipping canceled,Standard Class,2,10.77000046,539.9100036,3
Shipping canceled,Standard Class,3,-284.5299988,539.9100036,3
Shipping canceled,Standard Class,3,69.68000031,539.9100036,3
Shipping canceled,Standard Class,2,7.480000019,359.9100036,3
Shipping canceled,Standard Class,3,11.02999973,225.0,3
Shipping canceled,Standard Class,6,-24.8199997,450.0,3
Shipping canceled,Standard Class,5,33.0,450.0,3
Shipping canceled,Standard Class,6,36.54000092,450.0,3
Shipping canceled,Standard Class,4,-76.37000275,359.9100036,3
Shipping canceled,Standard Class,2,8.760000229,359.9100036,3
Shipping canceled,Standard Class,4,36.36999893,224.91000366,3
Shipping canceled,Standard Class,6,18.12999916,143.91000366,3
Shipping canceled,Standard Class,2,-12.98999977,959.8400268,4
Shipping canceled,Standard Class,6,74.04000092,959.8400268,4
Shipping canceled,Standard Class,4,90.0,800.0,4
Shipping canceled,Standard Class,4,-2.190000057,639.8400268,4
Shipping canceled,Standard Class,5,85.05000305,800.0,4
Shipping canceled,Standard Class,2,3.039999962,399.83999632,4
Advance shipping,Standard Class,2,-266.7900085,1599.839966,4
Shipping on time,Standard Class,4,64.79000092,959.8400268,4
Late delivery,Standard Class,5,83.62000275,959.8400268,4
Late delivery,Standard Class,5,74.08999634,959.8400268,4
Advance shipping,Standard Class,2,92.97000122,959.8400268,4
Late delivery,Standard Class,5,70.55999756,959.8400268,4
Late delivery,Standard Class,6,96.0,800.0,4
Late delivery,Standard Class,5,-145.1300049,800.0,4
Shipping on time,Standard Class,4,45.0,639.8400268,4
Late delivery,Standard Class,5,51.09000015,639.8400268,4
Advance shipping,Standard Class,3,31.25,480.0,4
Shipping on time,Standard Class,4,-459.0,800.0,4
Advance shipping,Standard Class,2,-248.0,800.0,4
Late delivery,Standard Class,5,13.19999981,800.0,4
Shipping on time,Standard Class,4,46.29000092,399.83999632,4
Late delivery,Standard Class,5,182.1399994,1599.839966,4
Late delivery,Standard Class,5,-261.4400024,1599.839966,4
Advance shipping,Standard Class,3,178.5800018,1599.839966,4
Advance shipping,Standard Class,3,167.4199982,1599.839966,4
Late delivery,Standard Class,5,-76.66999817,1599.839966,4
Late delivery,Standard Class,5,165.4199982,1599.839966,4
Advance shipping,Standard Class,2,-82.01000214,1599.839966,4
Shipping on time,Standard Class,4,91.79000092,1599.839966,4
Advance shipping,Standard Class,2,40.56000137,129.9900055,1
Advance shipping,Standard Class,2,41.18000031,129.9900055,1
Shipping on time,Standard Class,4,27.36000061,59.99000168,1
Advance shipping,Standard Class,3,26.05999947,129.9900055,1
Advance shipping,Standard Class,2,32.47999954,129.9900055,1
Late delivery,Standard Class,5,35.81000137,129.9900055,1
Late delivery,Standard Class,6,102.5100021,215.8200073,1
Shipping on time,Standard Class,4,15.43999958,129.9900055,1
Advance shipping,Standard Class,2,4.570000172,129.9900055,1
Late delivery,Standard Class,5,61.75,129.9900055,1
Late delivery,Standard Class,6,38.65000153,129.9900055,1
Shipping on time,Standard Class,4,14.25,59.99000168,1
Advance shipping,Standard Class,2,-6.170000076,129.9900055,1
Shipping on time,Standard Class,4,20.12999916,129.9900055,1
Shipping on time,Standard Class,4,54.34000015,129.9900055,1
Advance shipping,Standard Class,2,43.61000061,461.480011,1
Shipping on time,Standard Class,4,42.99000168,129.9900055,1
Advance shipping,Standard Class,3,19.84000015,59.99000168,1
Advance shipping,Standard Class,2,54.04999924,129.9900055,1
Shipping on time,Standard Class,4,-184.2599945,129.9900055,1
Late delivery,Standard Class,5,39.91999817,129.9900055,1
Late delivery,Standard Class,6,41.52000046,129.9900055,1
Shipping on time,Standard Class,4,9.210000038,129.9900055,1
Shipping on time,Standard Class,4,12.27999973,129.9900055,1
Shipping on time,Standard Class,4,36.84999847,129.9900055,1
Late delivery,Standard Class,5,60.45000076,129.9900055,1
Advance shipping,Standard Class,3,-29.37999916,129.9900055,1
Advance shipping,Standard Class,3,15.10999966,129.9900055,1
Shipping on time,Standard Class,4,-105.7799988,129.9900055,1
Shipping on time,Standard Class,4,72.86000061,215.8200073,1
Late delivery,Standard Class,6,26.78000069,59.99000168,1
Advance shipping,Standard Class,3,31.79000092,129.9900055,1
Shipping on time,Standard Class,4,7.619999886,129.9900055,1
Advance shipping,Standard Class,2,62.8199997,215.8200073,1
Shipping on time,Standard Class,4,-187.3800049,129.9900055,1
Late delivery,Standard Class,5,31.43000031,129.9900055,1
Late delivery,Standard Class,5,-140.5,215.8200073,1
Shipping on time,Standard Class,4,37.77000046,461.480011,1
Advance shipping,Standard Class,2,-193.4299927,129.9900055,1
Advance shipping,Standard Class,3,76.26999664,215.8200073,1
Shipping on time,Standard Class,4,12.09000015,129.9900055,1
Late delivery,Standard Class,5,32.63999939,129.9900055,1
Advance shipping,Standard Class,2,24.84000015,129.9900055,1
Advance shipping,Standard Class,2,6.170000076,59.99000168,1
Shipping on time,Standard Class,4,94.01999664,210.8500061,1
Shipping on time,Standard Class,4,22.5,1250.0,5
Advance shipping,Standard Class,2,15.39999962,1250.0,5
Advance shipping,Standard Class,3,52.18999863,999.7499845,5
Shipping on time,Standard Class,4,84.98000336,999.7499845,5
Late delivery,Standard Class,6,65.73000336,1250.0,5
Shipping on time,Standard Class,4,70.13999939,1250.0,5
Late delivery,Standard Class,5,56.02999878,1250.0,5
Advance shipping,Standard Class,3,12.86999989,1250.0,5
Advance shipping,Standard Class,3,64.16999817,1250.0,5
Late delivery,Standard Class,6,100.4499969,1250.0,5
Late delivery,Standard Class,5,71.75,1250.0,5
Shipping on time,Standard Class,4,72.59999847,1250.0,5
Late delivery,Standard Class,6,67.48000336,999.7499845,5
Late delivery,Standard Class,5,21.19000053,1250.0,5
Late delivery,Standard Class,6,59.97999954,624.7499845,5
Late delivery,Standard Class,5,35.61000061,624.7499845,5
Advance shipping,Standard Class,2,39.90999985,624.7499845,5
Late delivery,Standard Class,5,23.27000046,399.74998475,5
Late delivery,Standard Class,5,30.88999939,399.74998475,5
Advance shipping,Standard Class,3,11.40999985,799.7499845,5
Advance shipping,Standard Class,2,53.97999954,749.7499845,5
Advance shipping,Standard Class,3,82.15000153,1124.7499845,5
Advance shipping,Standard Class,2,66.48999786,2499.750061,5
Advance shipping,Standard Class,2,80.98999786,1499.750061,5
Advance shipping,Standard Class,2,54.77000046,999.7499845,5
Late delivery,Standard Class,6,-265.0,1250.0,5
Late delivery,Standard Class,6,51.15999985,1199.7499845,5
Late delivery,Standard Class,6,85.48999786,1499.750061,5
Late delivery,Standard Class,6,59.13000107,874.7499845,5
Advance shipping,Standard Class,3,84.13999939,2499.750061,5
Advance shipping,Standard Class,3,65.83000183,699.7499845,5
Late delivery,Standard Class,6,43.11999893,2499.750061,5
Advance shipping,Standard Class,2,242.4799957,2499.750061,5
Shipping on time,Standard Class,4,-115.4199982,2499.750061,5
Advance shipping,Standard Class,2,109.1100006,2499.750061,5
Late delivery,Standard Class,5,52.43999863,799.7499845,5
Late delivery,Standard Class,6,9.600000381,2499.750061,5
Shipping on time,Standard Class,4,230.3800049,2499.750061,5
Advance shipping,Standard Class,3,41.79999924,2499.750061,5
Late delivery,Standard Class,6,47.5,2499.750061,5
Advance shipping,Standard Class,2,218.4799957,2499.750061,5
Late delivery,Standard Class,5,-9.81000042,874.7499845,5
Late delivery,Standard Class,6,82.66000366,874.7499845,5
Late delivery,Standard Class,5,174.3600006,2499.750061,5
Late delivery,Standard Class,6,159.2299957,2499.750061,5
Advance shipping,Standard Class,3,49.97000122,239.9600068,2
Late delivery,Standard Class,6,46.90999985,239.9600068,2
Advance shipping,Standard Class,2,32.36000061,239.9600068,2
Shipping on time,Standard Class,4,36.84999847,239.9600068,2
Late delivery,Standard Class,6,49.79000092,239.9600068,2
Advance shipping,Standard Class,3,35.0,200.0,2
Advance shipping,Standard Class,2,43.0,200.0,2
Shipping on time,Standard Class,4,0.0,200.0,2
Advance shipping,Standard Class,2,21.77000046,159.96000672,2
Shipping on time,Standard Class,4,10.96000004,200.0,2
Advance shipping,Standard Class,3,41.27999878,200.0,2
Shipping on time,Standard Class,4,26.87000084,159.96000672,2
Late delivery,Standard Class,5,34.18999863,159.96000672,2
Late delivery,Standard Class,6,35.70999908,159.96000672,2
Late delivery,Standard Class,6,11.88000011,200.0,2
Late delivery,Standard Class,5,18.52000046,280.0,2
Late delivery,Standard Class,5,17.44000053,100.0,2
Advance shipping,Standard Class,3,30.22999954,200.0,2
Advance shipping,Standard Class,3,-162.75,200.0,2
Late delivery,Standard Class,5,24.60000038,159.96000672,2
Advance shipping,Standard Class,3,35.99000168,159.96000672,2
Shipping on time,Standard Class,4,17.12999916,159.96000672,2
Shipping on time,Standard Class,4,41.40000153,200.0,2
Advance shipping,Standard Class,3,23.38999939,159.96000672,2
Shipping on time,Standard Class,4,21.42000008,200.0,2
Late delivery,Standard Class,5,28.17000008,200.0,2
Advance shipping,Standard Class,3,-11.47000027,159.96000672,2
Advance shipping,Standard Class,2,29.04000092,200.0,2
Advance shipping,Standard Class,3,23.48999977,200.0,2
Advance shipping,Standard Class,2,19.12999916,200.0,2
Shipping on time,Standard Class,4,5.96999979,159.96000672,2
Advance shipping,Standard Class,2,7.210000038,159.96000672,2
Advance shipping,Standard Class,2,21.63999939,159.96000672,2
Late delivery,Standard Class,6,-9.050000191,159.96000672,2
Late delivery,Standard Class,5,7.21999979,200.0,2
Advance shipping,Standard Class,2,37.59999847,200.0,2
Shipping on time,Standard Class,4,36.79999924,200.0,2
Advance shipping,Standard Class,2,16.20000076,159.96000672,2
Late delivery,Standard Class,5,27.59000015,159.96000672,2
Advance shipping,Standard Class,2,12.75,200.0,2
Late delivery,Standard Class,6,19.0,127.95999908,2
Advance shipping,Standard Class,3,13.69999981,99.95999908,2
Late delivery,Standard Class,5,15.82999992,79.95999908,2
Late delivery,Standard Class,6,26.44000053,191.96000672,2
Advance shipping,Standard Class,3,-45.88999939,327.75,1
Advance shipping,Standard Class,2,103.2399979,327.75,1
Late delivery,Second Class,6,81.94000244,327.75,1
Late delivery,Standard Class,5,24.34000015,327.75,1
Shipping on time,Standard Class,4,-36.29999924,327.75,1
Advance shipping,Standard Class,3,111.2699966,327.75,1
Shipping canceled,Standard Class,2,114.2099991,327.75,1
Late delivery,Second Class,6,-71.30000305,327.75,1
Late delivery,Standard Class,5,37.16999817,327.75,1
Late delivery,First Class,2,146.3099976,327.75,1
Advance shipping,Standard Class,3,74.55999756,327.75,1
Advance shipping,Standard Class,2,59.0,327.75,1
Late delivery,Standard Class,6,83.63999939,327.75,1
Late delivery,Standard Class,5,136.8699951,327.75,1
Shipping on time,Standard Class,4,20.88999939,327.75,1
Advance shipping,Standard Class,3,-55.06000137,327.75,1
Advance shipping,Standard Class,2,36.18000031,327.75,1
Late delivery,Second Class,6,131.6900024,327.75,1
Late delivery,Standard Class,5,91.76999664,327.75,1
Shipping on time,Standard Class,4,-163.9600067,327.75,1
Advance shipping,Standard Class,3,144.2100067,327.75,1
Late delivery,First Class,2,32.45000076,327.75,1
Late delivery,First Class,2,93.15000153,327.75,1
Late delivery,First Class,2,79.48000336,327.75,1
Late delivery,First Class,2,100.6800003,327.75,1
Shipping on time,Same Day,0,149.4499969,327.75,1
Shipping on time,Same Day,0,80.52999878,327.75,1
Shipping on time,Same Day,0,-34.75,327.75,1
Late delivery,Standard Class,5,146.1399994,327.75,1
Shipping on time,Standard Class,4,22.12000084,327.75,1
Advance shipping,Standard Class,3,-447.0499878,327.75,1
Advance shipping,Standard Class,2,106.9300003,327.75,1
Late delivery,Standard Class,6,-459.6700134,327.75,1
Shipping canceled,Standard Class,5,-61.93999863,327.75,1
Late delivery,Second Class,4,111.5299988,327.75,1
Advance shipping,Standard Class,3,131.6900024,327.75,1
Shipping on time,Second Class,2,85.22000122,327.75,1
Late delivery,First Class,2,63.90999985,327.75,1
Late delivery,Second Class,5,-273.019989,327.75,1
Late delivery,Second Class,4,-259.5799866,327.75,1
Advance shipping,Standard Class,3,20.23999977,327.75,1
Advance shipping,Standard Class,2,111.2699966,327.75,1
Late delivery,Standard Class,6,0.0,327.75,1
Late delivery,Standard Class,5,97.45999908,327.75,1
Late delivery,Second Class,4,89.8199997,327.75,1
Shipping canceled,Second Class,3,85.34999847,327.75,1
Advance shipping,Standard Class,2,125.2699966,327.75,1
Late delivery,Standard Class,6,91.44000244,327.75,1
Late delivery,Standard Class,5,77.87000275,327.75,1
Late delivery,Second Class,4,82.69000244,327.75,1
Advance shipping,Standard Class,3,69.65000153,327.75,1
Advance shipping,Standard Class,2,134.8999939,327.75,1
Late delivery,Second Class,6,-199.3999939,327.75,1
Late delivery,Second Class,5,-215.0,327.75,1
Late delivery,First Class,2,82.0699997,327.75,1
Late delivery,First Class,2,76.94000244,327.75,1
Shipping on time,Second Class,2,-540.789978,327.75,1
Late delivery,Second Class,6,-146.0099945,327.75,1
Late delivery,Second Class,5,93.15000153,327.75,1
Late delivery,First Class,2,149.4199982,327.75,1
Late delivery,First Class,2,31.45999908,327.75,1
Late delivery,First Class,2,0.0,327.75,1
Late delivery,Standard Class,6,151.7599945,327.75,1
Late delivery,Standard Class,5,146.3099976,327.75,1
Shipping on time,Standard Class,4,20.87999916,327.75,1
Advance shipping,Standard Class,3,95.87000275,327.75,1
Advance shipping,Standard Class,2,135.5599976,327.75,1
Late delivery,Standard Class,6,74.13999939,327.75,1
Late delivery,Standard Class,5,78.0,327.75,1
Shipping on time,Standard Class,4,-183.6300049,327.75,1
Advance shipping,Standard Class,3,98.75,327.75,1
Advance shipping,Standard Class,2,26.87999916,327.75,1
Late delivery,Standard Class,6,91.76999664,327.75,1
Late delivery,Standard Class,5,-180.1799927,327.75,1
Shipping on time,Standard Class,4,-251.3800049,327.75,1
Advance shipping,Standard Class,3,-237.8399963,327.75,1
Advance shipping,Standard Class,2,28.27000046,327.75,1
Late delivery,Standard Class,6,87.43000031,327.75,1
Late delivery,Standard Class,5,82.75,327.75,1
Late delivery,Second Class,4,116.7600021,327.75,1
Late delivery,Second Class,3,148.6699982,327.75,1
Late delivery,First Class,2,-72.54000092,327.75,1
Late delivery,Second Class,6,146.1399994,327.75,1
Late delivery,Second Class,5,129.7899933,327.75,1
Late delivery,Second Class,4,112.4800034,327.75,1
Late delivery,Same Day,0,76.98999786,327.75,1
Late delivery,Same Day,0,75.22000122,327.75,1
Late delivery,Same Day,0,123.8899994,327.75,1
Late delivery,Same Day,0,133.3000031,327.75,1
Late delivery,Same Day,0,90.83999634,327.75,1
Shipping canceled,Same Day,0,-43.79000092,327.75,1
Late delivery,Same Day,0,92.18000031,327.75,1
Late delivery,Standard Class,6,40.97000122,327.75,1
Late delivery,Standard Class,5,45.43000031,327.75,1
Shipping on time,Standard Class,4,144.5399933,327.75,1
Advance shipping,Standard Class,3,31.79000092,327.75,1
Late delivery,Second Class,6,57.59999847,450.0,3
Late delivery,Second Class,6,12.71000004,450.0,3
Shipping on time,Second Class,2,95.62000275,899.9100036,3
Late delivery,Second Class,6,35.33000183,359.9100036,3
Late delivery,Second Class,5,-19.12000084,899.9100036,3
Late delivery,Second Class,3,28.51000023,539.9100036,3
Late delivery,Second Class,3,12.96000004,539.9100036,3
Shipping on time,Second Class,2,36.22999954,539.9100036,3
Shipping on time,Second Class,2,6.21999979,539.9100036,3
Late delivery,Second Class,6,-102.0299988,539.9100036,3
Shipping on time,Second Class,2,64.5,450.0,3
Late delivery,Second Class,5,44.15000153,359.9100036,3
Late delivery,Second Class,5,-4.110000134,197.91000366,3
Late delivery,Second Class,3,-57.56000137,143.91000366,3
Late delivery,Second Class,5,28.18000031,539.9100036,3
Late delivery,Second Class,6,34.41999817,404.91000360000004,3
Shipping on time,Second Class,2,-215.4799957,899.9100036,3
Late delivery,Second Class,5,72.52999878,899.9100036,3
Late delivery,Second Class,5,53.54000092,539.9100036,3
Late delivery,Second Class,4,66.93000031,450.0,3
Late delivery,Second Class,6,13.94999981,450.0,3
Late delivery,Second Class,3,59.13000107,1599.839966,4
Shipping on time,Second Class,2,42.99000168,511.8399964,4
Late delivery,Second Class,6,138.5899963,1599.839966,4
Shipping on time,Second Class,2,0.0,511.8399964,4
Shipping on time,Second Class,2,141.1100006,1599.839966,4
Late delivery,Second Class,4,77.05000305,959.8400268,4
Late delivery,Second Class,3,58.45000076,959.8400268,4
Late delivery,Second Class,3,17.73999977,959.8400268,4
Shipping on time,Second Class,2,-146.6000061,800.0,4
Late delivery,Second Class,3,54.86999893,639.8400268,4
Shipping on time,Second Class,2,83.59999847,800.0,4
Late delivery,Second Class,4,85.05000305,800.0,4
Shipping on time,Second Class,2,-148.8000031,800.0,4
Late delivery,Second Class,3,-33.91999817,639.8400268,4
Late delivery,Second Class,5,68.40000153,800.0,4
Shipping on time,Second Class,2,37.11000061,639.8400268,4
Late delivery,Second Class,3,-25.48999977,399.83999632,4
Shipping on time,Second Class,2,186.1000061,1599.839966,4
Late delivery,Second Class,5,38.41999817,1599.839966,4
Late delivery,Second Class,4,131.0299988,1599.839966,4
Late delivery,Second Class,3,93.58000183,959.8400268,4
Late delivery,Second Class,4,-25.5,959.8400268,4
Late delivery,Second Class,6,98.76999664,959.8400268,4
Late delivery,Second Class,3,90.72000122,800.0,4
Late delivery,Second Class,3,61.18000031,639.8400268,4
Shipping on time,Second Class,2,-115.5999985,800.0,4
Late delivery,Second Class,4,50.95000076,831.8400268,4
Late delivery,Second Class,5,-69.90000153,399.83999632,4
Late delivery,Second Class,3,14.13000011,959.8400268,4
Late delivery,Second Class,5,84.23000336,959.8400268,4
Late delivery,Second Class,3,51.15999985,959.8400268,4
Shipping on time,Second Class,2,51.90000153,639.8400268,4
Late delivery,Second Class,5,62.40000153,800.0,4
