Delivery Status,Shipping Mode,delivery_time,profit,inventory_demand,Order Item Quantity,inventory_efficiency
Shipping canceled,Standard Class,2,75.30999756,719.8400268,4,0.005556790190984139
Shipping canceled,Standard Class,3,75.58999634,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,3,57.59999847,800.0,4,0.005
Advance shipping,Standard Class,2,15.35999966,639.8400268,4,0.006251562628873033
Shipping canceled,Standard Class,3,1.789999962,639.8400268,4,0.006251562628873033
Late delivery,Standard Class,5,70.18000031,999.7499845,5,0.005001250390116911
Advance shipping,Standard Class,2,26.59000015,699.7499845,5,0.0071454092329458286
Late delivery,Standard Class,5,168.7299957,2499.750061,5,0.0020001999711922397
Late delivery,Standard Class,5,22.04999924,1499.750061,5,0.0033338888458961696
Late delivery,First Class,2,3.410000086,11.28999996,1,0.0885739595697926
Shipping canceled,First Class,2,54.90999985,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,48.25999832,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,-24.68000031,959.8400268,4,0.004167361110512921
Shipping on time,Second Class,2,4.199999809,99.98999786,1,0.010001000314052811
Late delivery,Second Class,5,19.20000076,39.99000168,1,0.02500625051236557
Late delivery,Second Class,5,172.7899933,399.980011,1,0.002500124937493439
Shipping on time,Second Class,2,146.9900055,299.980011,1,0.0033335554481328427
Late delivery,Second Class,5,68.02999878,1599.839966,4,0.0025002500781381278
Late delivery,Second Class,4,89.98999786,1499.750061,5,0.0033338888458961696
Late delivery,Second Class,4,67.87999725,999.7499845,5,0.005001250390116911
Shipping on time,Standard Class,4,-17.80999947,50.0,1,0.02
Late delivery,Standard Class,5,-71.98999786,99.98999786,1,0.010001000314052811
Late delivery,Standard Class,5,30.20999908,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,23.52000046,59.99000168,1,0.01666944444066233
Advance shipping,Standard Class,2,23.04000092,50.0,1,0.02
Advance shipping,Standard Class,3,2.819999933,50.0,1,0.02
Advance shipping,Standard Class,3,-213.9799957,299.980011,1,0.0033335554481328427
Advance shipping,Standard Class,3,6.039999962,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,3,7.559999943,159.96000672,2,0.012503125256182785
Late delivery,Standard Class,5,31.75,239.9600068,2,0.008334722217552463
Shipping on time,Standard Class,4,19.0,159.96000672,2,0.012503125256182785
Advance shipping,Standard Class,3,6.150000095,200.0,2,0.01
Late delivery,Standard Class,5,26.98999977,159.96000672,2,0.012503125256182785
Advance shipping,Standard Class,2,44.99000168,239.9600068,2,0.008334722217552463
Shipping on time,Standard Class,4,68.83999634,539.9100036,3,0.005556481598778808
Shipping on time,Standard Class,4,35.68999863,359.9100036,3,0.008335417104255227
Advance shipping,Standard Class,3,43.31000137,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,3,185.1999969,1599.839966,4,0.0025002500781381278
Shipping on time,Standard Class,4,-87.95999908,480.0,4,0.008333333333333333
Shipping on time,Standard Class,4,23.76000023,959.8400268,4,0.004167361110512921
Late delivery,Standard Class,5,62.38999939,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,2,-24.60000038,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,3,131.9799957,1499.750061,5,0.0033338888458961696
Late delivery,Standard Class,5,-348.0,1250.0,5,0.004
Advance shipping,Standard Class,2,98.69999695,1250.0,5,0.004
Shipping on time,Standard Class,4,220.4799957,2499.750061,5,0.0020001999711922397
Late delivery,Standard Class,5,94.48999786,2499.750061,5,0.0020001999711922397
Advance shipping,Standard Class,3,27.22999954,1250.0,5,0.004
Late delivery,Second Class,3,36.40000153,129.9900055,1,0.007692899128310292
Shipping on time,Second Class,2,132.5800018,461.480011,1,0.002166941094226506
Shipping on time,Second Class,2,34.11999893,129.9900055,1,0.007692899128310292
Late delivery,Second Class,3,35.41999817,239.9600068,2,0.008334722217552463
Shipping on time,Standard Class,4,26.84000015,1250.0,5,0.004
Late delivery,First Class,2,37.84999847,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,-212.3399963,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,28.12000084,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,29.39999962,239.9600068,2,0.008334722217552463
Late delivery,First Class,2,55.20000076,1250.0,5,0.004
Shipping on time,Same Day,0,67.19999695,399.980011,1,0.002500124937493439
Late delivery,Second Class,3,-433.4700012,299.980011,1,0.0033335554481328427
Late delivery,Second Class,4,57.95999908,299.980011,1,0.0033335554481328427
Shipping on time,Second Class,2,52.86999893,129.9900055,1,0.007692899128310292
Late delivery,Second Class,4,114.8300018,399.980011,1,0.002500124937493439
Late delivery,Second Class,5,-310.3800049,399.980011,1,0.002500124937493439
Late delivery,Second Class,5,90.19999695,399.980011,1,0.002500124937493439
Late delivery,Second Class,5,-1.840000033,450.0,3,0.006666666666666667
Late delivery,First Class,2,18.27000046,59.99000168,1,0.01666944444066233
Late delivery,First Class,2,82.88999939,539.9100036,3,0.005556481598778808
Late delivery,First Class,2,76.01999664,539.9100036,3,0.005556481598778808
Late delivery,First Class,2,36.29000092,270.0,3,0.011111111111111112
Late delivery,First Class,2,73.51999664,1250.0,5,0.004
Late delivery,First Class,2,-174.0,1250.0,5,0.004
Late delivery,First Class,2,36.8199997,399.74998475,5,0.012507817863024946
Shipping on time,Same Day,0,63.95999908,299.980011,1,0.0033335554481328427
Late delivery,Standard Class,5,-580.9699707,399.980011,1,0.002500124937493439
Advance shipping,Standard Class,2,35.0,99.98999786,1,0.010001000314052811
Advance shipping,Standard Class,2,34.04000092,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,29.70000076,299.980011,1,0.0033335554481328427
Advance shipping,Standard Class,2,87.11000061,299.980011,1,0.0033335554481328427
Shipping on time,Standard Class,4,27.0699997,59.99000168,1,0.01666944444066233
Shipping on time,Standard Class,4,-157.1199951,215.8200073,1,0.004633490715297553
Late delivery,Standard Class,5,12.44999981,50.0,1,0.02
Advance shipping,Standard Class,2,161.9900055,399.980011,1,0.002500124937493439
Advance shipping,Standard Class,3,-381.269989,299.980011,1,0.0033335554481328427
Shipping on time,Standard Class,4,8.770000458,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,6.320000172,39.99000168,1,0.02500625051236557
Shipping on time,Standard Class,4,54.66999817,239.9600068,2,0.008334722217552463
Advance shipping,Standard Class,2,24.35000038,179.96000672,2,0.011113580380733162
Advance shipping,Standard Class,2,8.300000191,200.0,2,0.01
Shipping on time,Standard Class,4,40.02000046,200.0,2,0.01
Advance shipping,Standard Class,3,7.090000153,200.0,2,0.01
Shipping on time,Standard Class,4,-296.9700012,399.9599914,2,0.005000500157526506
Late delivery,Standard Class,5,12.25,200.0,2,0.01
Late delivery,Standard Class,5,-124.7200012,539.9100036,3,0.005556481598778808
Shipping on time,Standard Class,4,37.79000092,539.9100036,3,0.005556481598778808
Advance shipping,Standard Class,3,46.86000061,539.9100036,3,0.005556481598778808
Advance shipping,Standard Class,2,25.42000008,299.980011,1,0.0033335554481328427
Advance shipping,Standard Class,3,40.40000153,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,3,154.4499969,532.5800171,1,0.0018776521234221126
Advance shipping,Standard Class,3,54.90999985,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,22.11000061,47.99000168,1,0.02083767378605351
Late delivery,First Class,2,129.4700012,399.980011,1,0.002500124937493439
Late delivery,First Class,2,-191.0899963,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,52.86999893,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,63.27000046,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,16.21999931,59.99000168,1,0.01666944444066233
Late delivery,First Class,2,35.49000168,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,10.60000038,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,63.70000076,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,12.60000038,200.0,2,0.01
Late delivery,First Class,2,32.45999908,959.8400268,4,0.004167361110512921
Shipping on time,Standard Class,4,87.13999939,299.980011,1,0.0033335554481328427
Shipping on time,Standard Class,4,-785.6199951,899.9100036,3,0.0033336666866673336
Shipping on time,Standard Class,4,49.72999954,450.0,3,0.006666666666666667
Shipping on time,Standard Class,4,13.94999981,450.0,3,0.006666666666666667
Late delivery,Standard Class,5,-56.24000168,959.8400268,4,0.004167361110512921
Late delivery,First Class,2,9.75,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,14.64999962,39.99000168,1,0.02500625051236557
Late delivery,First Class,2,8.180000305,200.0,2,0.01
Late delivery,First Class,2,17.46999931,159.96000672,2,0.012503125256182785
Late delivery,First Class,2,63.59999847,539.9100036,3,0.005556481598778808
Late delivery,First Class,2,86.23000336,959.8400268,4,0.004167361110512921
Late delivery,Same Day,0,9.510000229,39.99000168,1,0.02500625051236557
Late delivery,Standard Class,5,-314.8299866,959.8400268,4,0.004167361110512921
Late delivery,Standard Class,5,76.43000031,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,2,153.5500031,2499.750061,5,0.0020001999711922397
Advance shipping,Standard Class,3,-165.0800018,1250.0,5,0.004
Advance shipping,Standard Class,2,85.30999756,1250.0,5,0.004
Late delivery,Standard Class,5,16.01000023,749.7499845,5,0.006668889767746304
Advance shipping,Standard Class,2,44.0,2499.750061,5,0.0020001999711922397
Late delivery,Standard Class,5,30.79999924,999.7499845,5,0.005001250390116911
Advance shipping,Standard Class,3,12.14000034,499.74998475,5,0.010005002806555863
Late delivery,Standard Class,5,37.49000168,1499.750061,5,0.0033338888458961696
Late delivery,Standard Class,5,-446.3299866,1499.750061,5,0.0033338888458961696
Late delivery,First Class,2,17.39999962,59.99000168,1,0.01666944444066233
Late delivery,First Class,2,44.34999847,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,138.2299957,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,14.39999962,399.9599914,2,0.005000500157526506
Late delivery,First Class,2,31.97999954,450.0,3,0.006666666666666667
Shipping on time,Same Day,0,11.10000038,129.9900055,1,0.007692899128310292
Shipping on time,Same Day,0,5.760000229,59.99000168,1,0.01666944444066233
Shipping on time,Same Day,0,23.52000046,200.0,2,0.01
Shipping on time,Same Day,0,5.619999886,224.91000366,3,0.013338668583791175
Shipping on time,Same Day,0,82.79000092,959.8400268,4,0.004167361110512921
Late delivery,Second Class,5,15.77999973,164.3800049,1,0.006083464960402858
Shipping on time,Second Class,2,101.8899994,452.0400085,1,0.0022121935695875467
Late delivery,Second Class,3,12.60999966,452.0400085,1,0.0022121935695875467
Late delivery,Second Class,3,2.0,59.99000168,1,0.01666944444066233
Late delivery,Second Class,4,37.75999832,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,3,14.34000015,39.75,1,0.025157232704402517
Shipping on time,Standard Class,4,47.77999878,450.0,3,0.006666666666666667
Late delivery,Standard Class,5,-33.54000092,639.8400268,4,0.006251562628873033
Advance shipping,Standard Class,3,-16.73999977,959.8400268,4,0.004167361110512921
Shipping canceled,Standard Class,4,-347.5,1250.0,5,0.004
Advance shipping,Standard Class,2,-15.09000015,1250.0,5,0.004
Shipping canceled,Standard Class,2,68.97000122,799.7499845,5,0.006251953856711828
Late delivery,Standard Class,5,48.84000015,2499.750061,5,0.0020001999711922397
Late delivery,Second Class,5,-42.31000137,287.83999632,4,0.013896609405015017
Late delivery,First Class,2,42.31000137,449.74998475,5,0.011117287758840775
Late delivery,Second Class,5,23.47999954,161.91000366,3,0.01852881188428478
Late delivery,Same Day,0,10.18999958,59.95999908,2,0.033355570892046785
Late delivery,Second Class,3,21.36000061,374.74998475,5,0.013342228695047332
Shipping canceled,Standard Class,2,13.55000019,134.91000366,3,0.022237046316895787
Late delivery,Standard Class,5,15.30000019,179.9900055,1,0.005555864044906649
Shipping on time,Second Class,2,30.73999977,224.91000366,3,0.013338668583791175
Shipping on time,Standard Class,4,32.33000183,224.91000366,3,0.013338668583791175
Advance shipping,Standard Class,2,1.600000024,39.95999908,2,0.05005005120235353
Shipping on time,Standard Class,4,66.15000153,249.9900055,1,0.004000159918393218
Shipping on time,Standard Class,4,6.519999981,39.99000168,1,0.02500625051236557
Late delivery,Standard Class,5,14.61999989,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,3,23.04000092,50.0,1,0.02
Shipping on time,Standard Class,4,50.09999847,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,-1.00999999,39.99000168,1,0.02500625051236557
Advance shipping,Standard Class,2,82.30999756,299.980011,1,0.0033335554481328427
Shipping on time,Standard Class,4,34.54999924,159.96000672,2,0.012503125256182785
Advance shipping,Standard Class,2,15.84000015,539.9100036,3,0.005556481598778808
Advance shipping,Standard Class,2,64.79000092,539.9100036,3,0.005556481598778808
Late delivery,Standard Class,5,-133.9100037,899.9100036,3,0.0033336666866673336
Advance shipping,Standard Class,3,59.84000015,539.9100036,3,0.005556481598778808
Shipping on time,Standard Class,4,45.15000153,767.8400268,4,0.005209418447056138
Advance shipping,Standard Class,2,58.09999847,800.0,4,0.005
Late delivery,Standard Class,5,17.67000008,2499.750061,5,0.0020001999711922397
Advance shipping,Standard Class,2,-159.4299927,1250.0,5,0.004
Advance shipping,Standard Class,3,-74.08000183,1250.0,5,0.004
Late delivery,First Class,2,15.77999973,59.99000168,1,0.01666944444066233
Late delivery,First Class,2,8.029999733,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,57.33000183,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,25.20000076,299.980011,1,0.0033335554481328427
Shipping on time,Second Class,2,8.029999733,129.9900055,1,0.007692899128310292
Late delivery,Second Class,4,119.8399963,299.980011,1,0.0033335554481328427
Late delivery,Second Class,4,17.86000061,59.99000168,1,0.01666944444066233
Late delivery,Second Class,3,-199.4900055,299.980011,1,0.0033335554481328427
Late delivery,Second Class,5,89.23000336,299.980011,1,0.0033335554481328427
Late delivery,Second Class,5,30.88999939,129.9900055,1,0.007692899128310292
Shipping on time,Second Class,2,-6.349999905,39.75,1,0.025157232704402517
Shipping on time,Second Class,2,33.95000076,200.0,2,0.01
Late delivery,Second Class,5,9.979999542,539.9100036,3,0.005556481598778808
Late delivery,Second Class,5,18.0,959.8400268,4,0.004167361110512921
Shipping on time,Second Class,2,-10.43000031,1250.0,5,0.004
Shipping on time,Standard Class,4,19.29999924,129.9900055,1,0.007692899128310292
Late delivery,Standard Class,5,204.9700012,461.480011,1,0.002166941094226506
Advance shipping,Standard Class,3,-183.3500061,129.9900055,1,0.007692899128310292
Shipping on time,Same Day,0,39.13999939,539.9100036,3,0.005556481598778808
Late delivery,Same Day,0,105.3899994,1599.839966,4,0.0025002500781381278
Late delivery,Same Day,0,72.73000336,999.7499845,5,0.005001250390116911
Shipping on time,Second Class,2,-174.9799957,357.1000061,1,0.0028003359924893604
Late delivery,Second Class,5,-385.5499878,299.980011,1,0.0033335554481328427
Late delivery,Second Class,4,10.78999996,129.9900055,1,0.007692899128310292
Late delivery,Second Class,5,14.10000038,129.9900055,1,0.007692899128310292
Late delivery,Second Class,3,-164.8999939,200.0,2,0.01
Late delivery,Second Class,3,109.8799973,899.9100036,3,0.0033336666866673336
Late delivery,Second Class,4,44.09000015,539.9100036,3,0.005556481598778808
Advance shipping,Standard Class,3,26.90999985,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,35.18000031,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,124.9400024,299.980011,1,0.0033335554481328427
Late delivery,Standard Class,5,37.70000076,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,10.96000004,39.99000168,1,0.02500625051236557
Advance shipping,Standard Class,2,-474.7999878,599.9899902,1,0.0016666944721305454
Advance shipping,Standard Class,2,9.949999809,129.9900055,1,0.007692899128310292
Late delivery,Standard Class,5,50.40000153,299.980011,1,0.0033335554481328427
Late delivery,Standard Class,5,92.11000061,293.0400085,1,0.003412503313519389
Shipping on time,Standard Class,4,37.83000183,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,45.29999924,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,-90.04000092,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,-29.25,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,113.9899979,399.980011,1,0.002500124937493439
Late delivery,Standard Class,5,-153.2599945,260.6499939,1,0.003836562529840903
Late delivery,First Class,2,31.29000092,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,81.88999939,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,3.609999895,50.0,1,0.02
Late delivery,First Class,2,65.25,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,48.20999908,239.9600068,2,0.008334722217552463
Late delivery,First Class,2,33.59999847,200.0,2,0.01
Late delivery,First Class,2,89.16999817,399.9599914,2,0.005000500157526506
Late delivery,First Class,2,29.38999939,159.96000672,2,0.012503125256182785
Late delivery,First Class,2,24.89999962,239.9600068,2,0.008334722217552463
Late delivery,First Class,2,39.88999939,359.9100036,3,0.008335417104255227
Late delivery,First Class,2,56.40000153,450.0,3,0.006666666666666667
Late delivery,First Class,2,33.74000168,539.9100036,3,0.005556481598778808
Late delivery,First Class,2,0.0,351.83999632,4,0.011368804120728737
Late delivery,First Class,2,87.11000061,1499.750061,5,0.0033338888458961696
Late delivery,First Class,2,-16.39999962,999.7499845,5,0.005001250390116911
Late delivery,Same Day,0,24.98999977,59.99000168,1,0.01666944444066233
Late delivery,Same Day,0,147.1900024,399.980011,1,0.002500124937493439
Late delivery,Same Day,0,-3.299999952,47.99000168,1,0.02083767378605351
Shipping on time,Same Day,0,12.0,200.0,2,0.01
Shipping on time,Same Day,0,36.49000168,359.9100036,3,0.008335417104255227
Late delivery,Same Day,0,43.18999863,359.9100036,3,0.008335417104255227
Late delivery,Second Class,4,70.0,800.0,4,0.005
Shipping on time,Standard Class,4,12.09000015,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,10.55000019,39.99000168,1,0.02500625051236557
Late delivery,Standard Class,5,42.52000046,99.98999786,1,0.010001000314052811
Shipping on time,Standard Class,4,21.57999992,99.98999786,1,0.010001000314052811
Late delivery,Standard Class,5,5.630000114,59.99000168,1,0.01666944444066233
Shipping on time,Standard Class,4,30.52000046,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,4.800000191,50.0,1,0.02
Advance shipping,Standard Class,2,15.93000031,39.99000168,1,0.02500625051236557
Late delivery,Standard Class,5,113.3899994,399.980011,1,0.002500124937493439
Late delivery,Standard Class,5,131.0299988,299.980011,1,0.0033335554481328427
Advance shipping,Standard Class,3,105.5500031,399.980011,1,0.002500124937493439
Late delivery,Standard Class,5,24.89999962,299.980011,1,0.0033335554481328427
Late delivery,Standard Class,5,11.43999958,31.07999992,1,0.032175032257850796
Late delivery,Standard Class,5,16.53000069,59.99000168,1,0.01666944444066233
Advance shipping,Standard Class,2,22.79000092,50.0,1,0.02
Shipping on time,Standard Class,4,62.40000153,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,-773.5700073,532.5800171,1,0.0018776521234221126
Shipping on time,Standard Class,4,107.8000031,299.980011,1,0.0033335554481328427
Late delivery,Standard Class,5,3.599999905,11.28999996,1,0.0885739595697926
Shipping on time,Standard Class,4,10.97999954,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,3,63.0,800.0,4,0.005
Late delivery,First Class,2,82.16000366,1499.750061,5,0.0033338888458961696
Shipping on time,Same Day,0,-18.01000023,30.0,1,0.03333333333333333
Shipping on time,Same Day,0,-8.31000042,50.0,1,0.02
Shipping on time,Second Class,2,864.0,1999.98999,1,0.000500002502512525
Late delivery,Second Class,5,27.40999985,129.9900055,1,0.007692899128310292
Late delivery,Second Class,4,0.370000005,39.99000168,1,0.02500625051236557
Shipping on time,Second Class,2,18.79999924,50.0,1,0.02
Shipping on time,Second Class,2,110.5299988,293.0400085,1,0.003412503313519389
Shipping on time,Second Class,2,62.36000061,539.9100036,3,0.005556481598778808
Shipping on time,Second Class,2,-49.24000168,899.9100036,3,0.0033336666866673336
Late delivery,Second Class,4,24.29000092,359.9100036,3,0.008335417104255227
Shipping on time,Second Class,2,93.58999634,1599.839966,4,0.0025002500781381278
Late delivery,Second Class,3,151.1799927,1599.839966,4,0.0025002500781381278
Late delivery,Second Class,4,-159.4299927,1250.0,5,0.004
Advance shipping,Standard Class,2,24.89999962,1500.0,1,0.0006666666666666666
Advance shipping,Standard Class,2,55.27999878,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,3.450000048,39.99000168,1,0.02500625051236557
Advance shipping,Standard Class,3,23.04999924,720.0,3,0.004166666666666667
Late delivery,Second Class,5,90.68000031,585.0,3,0.005128205128205128
Shipping on time,Standard Class,4,10.43999958,119.9899979,1,0.008334027981510615
Late delivery,Second Class,5,3.75999999,79.95999908,2,0.025012506540914282
Late delivery,Second Class,3,42.47999954,499.74998475,5,0.010005002806555863
Advance shipping,Standard Class,3,14.39000034,79.95999908,2,0.025012506540914282
Shipping on time,Second Class,2,55.18999863,1279.839966,4,0.0031253907568628
Advance shipping,Standard Class,2,48.40999985,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,46.77000046,134.9900055,1,0.007407955843071657
Late delivery,Standard Class,5,4.599999905,11.53999996,1,0.0866551129520108
Late delivery,Standard Class,5,1.289999962,11.53999996,1,0.0866551129520108
Advance shipping,Standard Class,3,0.779999971,11.53999996,1,0.0866551129520108
Advance shipping,Standard Class,2,4.980000019,11.53999996,1,0.0866551129520108
Late delivery,Standard Class,5,58.81000137,199.9900055,1,0.005000249874986878
Late delivery,First Class,2,64.22000122,199.9900055,1,0.005000249874986878
Shipping on time,Standard Class,4,61.97000122,199.9900055,1,0.005000249874986878
Shipping on time,Same Day,0,80.63999939,199.9900055,1,0.005000249874986878
Late delivery,Second Class,3,-36.59999847,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,-49.79999924,199.9900055,1,0.005000249874986878
Late delivery,First Class,2,95.04000092,199.9900055,1,0.005000249874986878
Shipping on time,Standard Class,4,20.02000046,199.9900055,1,0.005000249874986878
Late delivery,Second Class,3,76.0,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,36.08000183,199.9900055,1,0.005000249874986878
Late delivery,Standard Class,5,76.80000305,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,47.04000092,199.9900055,1,0.005000249874986878
Late delivery,Second Class,4,86.94000244,199.9900055,1,0.005000249874986878
Late delivery,First Class,2,56.0,199.9900055,1,0.005000249874986878
Shipping on time,Standard Class,4,-303.980011,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,-27.37999916,199.9900055,1,0.005000249874986878
Late delivery,First Class,2,31.29000092,199.9900055,1,0.005000249874986878
Shipping on time,Standard Class,4,-148.7899933,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,45.0,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,48.36000061,199.9900055,1,0.005000249874986878
Shipping canceled,Standard Class,5,21.25,199.9900055,1,0.005000249874986878
Late delivery,Second Class,3,44.20000076,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,-47.59999847,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,2,33.0699997,199.9900055,1,0.005000249874986878
Shipping on time,Same Day,0,64.22000122,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,10.57999992,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,2,40.5,450.0,3,0.006666666666666667
