hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,is_family,room_changed,previous_cancellation_ratio,has_previous_booking,booked_through_agent,estimated_booking_value,adr_per_guest,lead_time_category,has_weekend_stay,is_long_stay,has_special_requests,booking_was_changed,was_on_waiting_list,parking_required,arrival_month_number,arrival_month_sin,arrival_month_cos,arrival_date,arrival_season,adult_only_booking,long_lead_no_deposit
Resort Hotel,0,37,2015,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,94.71,0,0,4,2.0,0,0,0.0,0,1,378.84,47.355,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,68,2015,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,0,3,4,2.0,0,1,0.0,0,1,388.0,48.5,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,37,2015,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,97.5,0,0,4,2.0,0,0,0.0,0,1,390.0,48.75,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,12,2015,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,88.2,0,0,1,2.0,0,1,0.0,0,1,88.2,44.1,Short,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,0,2015,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,Transient,107.42,0,0,1,2.0,0,1,0.0,0,0,107.42,53.71,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,7,2015,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,1,4,2.0,0,0,0.0,0,1,612.0,76.5,Last Minute,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,37,2015,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,97.29,0,1,5,1.0,0,0,0.0,0,1,486.45000000000005,97.29,Medium,1,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,72,2015,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,84.67,0,1,6,2.0,0,0,0.0,0,1,508.02,42.335,Medium,1,0,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,72,2015,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,99.67,0,1,6,2.0,0,0,0.0,0,1,598.02,49.835,Medium,1,0,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,127,2015,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,0,Contract,94.95,0,1,7,2.0,0,1,0.0,0,1,664.65,47.475,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,78,2015,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.6,1,0,7,2.0,0,0,0.0,0,1,445.2,31.8,Medium,1,1,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,48,2015,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,7,2.0,0,0,0.0,0,1,556.5,39.75,Medium,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,1,60,2015,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,107.0,0,2,7,2.0,0,0,0.0,0,1,749.0,53.5,Medium,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,77,2015,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.0,0,0,7,2.0,0,0,0.0,0,1,658.0,47.0,Medium,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,99,2015,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,87.3,1,1,7,2.0,0,0,0.0,0,1,611.1,43.65,Long,1,1,1,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,118,2015,27,1,4,10,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,62.0,0,2,14,1.0,0,0,0.0,0,0,868.0,62.0,Long,1,1,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,95,2015,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.86,0,0,15,2.0,0,0,0.0,0,1,957.9,31.93,Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,1,96,2015,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,108.3,0,2,10,2.0,0,0,0.0,0,0,1083.0,54.15,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,69,2015,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,65.5,0,0,6,2.0,0,1,0.0,0,1,393.0,32.75,Medium,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,1,45,2015,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0,0,0.0,0,1,435.2,36.266666666666666,Medium,1,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,1,40,2015,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0,0,0.0,0,1,435.2,36.266666666666666,Medium,1,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,15,2015,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,0,4,2.0,0,1,0.0,0,1,392.0,49.0,Short,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,36,2015,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0,0,0.0,0,1,435.2,36.266666666666666,Medium,1,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,1,43,2015,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,0,4,3.0,0,0,0.0,0,1,435.2,36.266666666666666,Medium,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,70,2015,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,137.0,0,1,5,2.0,0,0,0.0,0,1,685.0,68.5,Medium,1,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,1,45,2015,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,5,2.0,0,0,0.0,0,1,589.05,58.905,Medium,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,45,2015,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,5,2.0,0,0,0.0,0,1,397.5,39.75,Medium,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,16,2015,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,123.0,0,0,5,2.0,0,0,0.0,0,0,615.0,61.5,Short,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,107,2015,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,2,7,2.0,0,0,0.0,0,1,774.9,55.35,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,1,47,2015,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,0,7,4.0,1,0,0.0,0,1,1071.0,38.25,Medium,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,0,0
Resort Hotel,0,96,2015,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,58.95,0,1,7,2.0,0,0,0.0,0,1,412.65000000000003,29.475,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,0,113,2015,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,82.88,0,2,7,2.0,0,0,0.0,0,1,580.16,41.44,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,0,90,2015,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,0,Contract,82.35,0,0,7,2.0,0,1,0.0,0,1,576.4499999999999,41.175,Medium,1,1,0,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,50,2015,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,0,Transient,119.35,0,1,7,2.0,0,1,0.0,0,1,835.4499999999999,59.675,Medium,1,1,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,113,2015,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,67.58,0,2,7,2.0,0,0,0.0,0,1,473.06,33.79,Long,1,1,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,0,93,2015,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,56.01,0,0,11,2.0,0,0,0.0,0,1,616.11,28.005,Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,0,76,2015,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,110.7,0,0,14,2.0,0,0,0.0,0,1,1549.8,55.35,Medium,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,3,2015,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,88.2,1,0,1,2.0,0,1,0.0,0,1,88.2,44.1,Last Minute,0,0,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,1,2015,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,147.0,1,0,1,2.0,0,0,0.0,0,1,147.0,73.5,Last Minute,0,0,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,1,2015,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,107.0,1,2,1,4.0,1,0,0.0,0,0,107.0,26.75,Last Minute,0,0,1,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,0,0
Resort Hotel,0,0,2015,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,147.0,0,0,1,2.0,0,0,0.0,0,0,147.0,73.5,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,0,2015,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,117.9,0,2,1,2.0,0,1,0.0,0,1,117.9,58.95,Last Minute,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,0,2015,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,123.0,0,0,1,2.0,0,0,0.0,0,0,123.0,61.5,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,14,2015,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,1,2,2.0,0,1,0.0,0,1,196.0,49.0,Short,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,10,2015,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,2,2.0,0,0,0.0,0,1,235.62,58.905,Short,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,5,2015,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,135.0,1,2,2,2.0,0,0,0.0,0,1,270.0,67.5,Last Minute,0,0,1,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,17,2015,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,133.0,0,1,3,2.0,0,0,0.0,0,1,399.0,66.5,Short,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,93,2015,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Contract,58.95,0,0,3,2.0,0,1,0.0,0,1,176.85000000000002,29.475,Long,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,1
Resort Hotel,1,3,2015,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,136.33,0,2,3,2.0,0,0,0.0,0,1,408.99,68.165,Last Minute,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-02,Summer,1,0
Resort Hotel,0,10,2015,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,0,Transient,153.0,1,0,2,4.0,1,1,0.0,0,1,306.0,38.25,Short,0,0,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,0,0
Resort Hotel,0,3,2015,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,110.5,0,0,2,2.0,0,1,0.0,0,1,221.0,55.25,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,51,2015,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,0,2,2.0,0,0,0.0,0,1,194.0,48.5,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,71,2015,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.3,0,2,2,3.0,0,0,0.0,0,1,220.6,36.766666666666666,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,63,2015,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,2,2,2.0,0,0,0.0,0,1,164.0,41.0,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,62,2015,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,1,2,2.0,0,0,0.0,0,1,194.0,48.5,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,101,2015,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,1,2,2.0,0,0,0.0,0,1,147.6,36.9,Long,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,1
Resort Hotel,0,2,2015,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,91.5,0,0,2,2.0,0,0,0.0,0,1,183.0,45.75,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,15,2015,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.5,0,0,2,2.0,0,0,0.0,0,1,229.0,57.25,Short,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,51,2015,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.3,0,0,2,3.0,0,0,0.0,0,1,220.6,36.766666666666666,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,3,2015,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.9,1,0,3,2.0,0,0,0.0,0,1,272.70000000000005,45.45,Last Minute,1,0,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,1,48,2015,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,3,2.0,0,0,0.0,0,1,369.0,61.5,Medium,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,2,2015,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,122.0,0,0,4,1.0,0,0,0.0,0,1,488.0,122.0,Last Minute,1,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,72,2015,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,1,0,4,2.0,0,0,0.0,0,1,442.8,55.35,Medium,1,0,0,0,0,1,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,81,2015,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,85.86,0,0,8,3.0,0,0,0.0,0,1,686.88,28.62,Medium,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,99,2015,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,58.95,0,0,9,2.0,0,0,0.0,0,1,530.5500000000001,29.475,Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,1
Resort Hotel,1,368,2015,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,55.68,0,0,10,2.0,0,0,0.0,0,1,556.8,27.84,Very Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,1
Resort Hotel,0,364,2015,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,55.68,0,0,10,2.0,0,0,0.0,0,1,556.8,27.84,Very Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,1
Resort Hotel,1,81,2015,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,124.0,0,1,10,2.0,0,0,0.0,0,1,1240.0,62.0,Medium,1,1,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,0
Resort Hotel,0,99,2015,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,111.15,0,0,10,2.0,0,0,0.0,0,1,1111.5,55.575,Long,1,1,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-03,Summer,1,1
